"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18200","tc04_DeleteCart","Ecommerce API Regression Suite","Mon Jun 29 06:17:36 GMT 2026","passed","Mon Jun 29 06:17:54 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","14027","tc02_AddToCart","Ecommerce API Regression Suite","Mon Jun 29 06:17:08 GMT 2026","passed","Mon Jun 29 06:17:22 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","13905","tc03_UpdateCart","Ecommerce API Regression Suite","Mon Jun 29 06:17:22 GMT 2026","passed","Mon Jun 29 06:17:36 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","8370","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Mon Jun 29 06:17:00 GMT 2026","passed","Mon Jun 29 06:17:08 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
