"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17796","tc04_DeleteCart","Ecommerce API Regression Suite","Thu Sep 03 06:18:40 GMT 2026","passed","Thu Sep 03 06:18:58 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","8201","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Thu Sep 03 06:18:04 GMT 2026","passed","Thu Sep 03 06:18:12 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","13937","tc02_AddToCart","Ecommerce API Regression Suite","Thu Sep 03 06:18:12 GMT 2026","passed","Thu Sep 03 06:18:26 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","13647","tc03_UpdateCart","Ecommerce API Regression Suite","Thu Sep 03 06:18:26 GMT 2026","passed","Thu Sep 03 06:18:40 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
