"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14308","tc03_UpdateCart","Ecommerce API Regression Suite","Thu Jan 15 03:19:05 GMT 2026","passed","Thu Jan 15 03:19:20 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","17681","tc04_DeleteCart","Ecommerce API Regression Suite","Thu Jan 15 03:19:20 GMT 2026","passed","Thu Jan 15 03:19:37 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","13613","tc02_AddToCart","Ecommerce API Regression Suite","Thu Jan 15 03:18:52 GMT 2026","passed","Thu Jan 15 03:19:05 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","9317","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Thu Jan 15 03:18:42 GMT 2026","passed","Thu Jan 15 03:18:52 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
