"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13670","tc02_AddToCart","Ecommerce API Regression Suite","Sat Jul 04 05:11:52 GMT 2026","passed","Sat Jul 04 05:12:06 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","13453","tc03_UpdateCart","Ecommerce API Regression Suite","Sat Jul 04 05:12:06 GMT 2026","passed","Sat Jul 04 05:12:19 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","17605","tc04_DeleteCart","Ecommerce API Regression Suite","Sat Jul 04 05:12:19 GMT 2026","passed","Sat Jul 04 05:12:37 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","8256","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Sat Jul 04 05:11:44 GMT 2026","passed","Sat Jul 04 05:11:52 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
