"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8671","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Wed Jan 07 03:16:42 GMT 2026","passed","Wed Jan 07 03:16:50 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","17415","tc04_DeleteCart","Ecommerce API Regression Suite","Wed Jan 07 03:17:17 GMT 2026","passed","Wed Jan 07 03:17:34 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","13399","tc03_UpdateCart","Ecommerce API Regression Suite","Wed Jan 07 03:17:04 GMT 2026","passed","Wed Jan 07 03:17:17 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","13395","tc02_AddToCart","Ecommerce API Regression Suite","Wed Jan 07 03:16:50 GMT 2026","passed","Wed Jan 07 03:17:04 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
