"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17581","tc04_DeleteCart","Ecommerce API Regression Suite","Tue Jan 06 03:17:24 GMT 2026","passed","Tue Jan 06 03:17:42 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","9073","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Tue Jan 06 03:16:48 GMT 2026","passed","Tue Jan 06 03:16:57 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","13402","tc02_AddToCart","Ecommerce API Regression Suite","Tue Jan 06 03:16:57 GMT 2026","passed","Tue Jan 06 03:17:11 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","13350","tc03_UpdateCart","Ecommerce API Regression Suite","Tue Jan 06 03:17:11 GMT 2026","passed","Tue Jan 06 03:17:24 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
