"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13287","tc03_UpdateCart","Ecommerce API Regression Suite","Sun May 31 05:56:00 GMT 2026","passed","Sun May 31 05:56:13 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","8004","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Sun May 31 05:55:38 GMT 2026","passed","Sun May 31 05:55:46 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","13321","tc02_AddToCart","Ecommerce API Regression Suite","Sun May 31 05:55:46 GMT 2026","passed","Sun May 31 05:56:00 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","21078","tc04_DeleteCart","Ecommerce API Regression Suite","Sun May 31 05:56:13 GMT 2026","passed","Sun May 31 05:56:34 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
