"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13977","tc03_UpdateCart","Ecommerce API Regression Suite","Sun Mar 22 04:02:56 GMT 2026","passed","Sun Mar 22 04:03:10 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","13984","tc02_AddToCart","Ecommerce API Regression Suite","Sun Mar 22 04:02:42 GMT 2026","passed","Sun Mar 22 04:02:56 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","8879","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Sun Mar 22 04:02:33 GMT 2026","passed","Sun Mar 22 04:02:42 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","18176","tc04_DeleteCart","Ecommerce API Regression Suite","Sun Mar 22 04:03:10 GMT 2026","passed","Sun Mar 22 04:03:28 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
