"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14211","tc02_AddToCart","Ecommerce API Regression Suite","Tue Jun 30 05:46:43 GMT 2026","passed","Tue Jun 30 05:46:58 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","14698","tc03_UpdateCart","Ecommerce API Regression Suite","Tue Jun 30 05:46:58 GMT 2026","passed","Tue Jun 30 05:47:12 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","8826","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Tue Jun 30 05:46:34 GMT 2026","passed","Tue Jun 30 05:46:43 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","17920","tc04_DeleteCart","Ecommerce API Regression Suite","Tue Jun 30 05:47:12 GMT 2026","passed","Tue Jun 30 05:47:30 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
