"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17683","tc04_DeleteCart","Ecommerce API Regression Suite","Thu Jan 29 03:44:07 GMT 2026","passed","Thu Jan 29 03:44:25 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","13581","tc03_UpdateCart","Ecommerce API Regression Suite","Thu Jan 29 03:43:54 GMT 2026","passed","Thu Jan 29 03:44:07 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","13604","tc02_AddToCart","Ecommerce API Regression Suite","Thu Jan 29 03:43:40 GMT 2026","passed","Thu Jan 29 03:43:54 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","8739","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Thu Jan 29 03:43:31 GMT 2026","passed","Thu Jan 29 03:43:40 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
