"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17366","tc04_DeleteCart","Ecommerce API Regression Suite","Sun May 03 05:01:11 GMT 2026","passed","Sun May 03 05:01:28 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","13386","tc02_AddToCart","Ecommerce API Regression Suite","Sun May 03 05:00:44 GMT 2026","passed","Sun May 03 05:00:57 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","13338","tc03_UpdateCart","Ecommerce API Regression Suite","Sun May 03 05:00:57 GMT 2026","passed","Sun May 03 05:01:11 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","7873","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Sun May 03 05:00:36 GMT 2026","passed","Sun May 03 05:00:44 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
