"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8387","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Wed Jul 01 06:05:46 GMT 2026","passed","Wed Jul 01 06:05:54 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","13703","tc03_UpdateCart","Ecommerce API Regression Suite","Wed Jul 01 06:06:08 GMT 2026","passed","Wed Jul 01 06:06:22 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","13766","tc02_AddToCart","Ecommerce API Regression Suite","Wed Jul 01 06:05:54 GMT 2026","passed","Wed Jul 01 06:06:08 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","17847","tc04_DeleteCart","Ecommerce API Regression Suite","Wed Jul 01 06:06:22 GMT 2026","passed","Wed Jul 01 06:06:40 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
