"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17878","tc04_DeleteCart","Ecommerce API Regression Suite","Mon Jun 22 07:00:01 GMT 2026","passed","Mon Jun 22 07:00:19 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","8902","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Mon Jun 22 06:59:21 GMT 2026","passed","Mon Jun 22 06:59:30 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","14421","tc03_UpdateCart","Ecommerce API Regression Suite","Mon Jun 22 06:59:46 GMT 2026","passed","Mon Jun 22 07:00:01 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","15771","tc02_AddToCart","Ecommerce API Regression Suite","Mon Jun 22 06:59:30 GMT 2026","passed","Mon Jun 22 06:59:46 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
