"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14371","tc03_UpdateCart","Ecommerce API Regression Suite","Tue Feb 24 04:01:45 GMT 2026","passed","Tue Feb 24 04:01:59 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","9148","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Tue Feb 24 04:01:21 GMT 2026","passed","Tue Feb 24 04:01:30 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","18118","tc04_DeleteCart","Ecommerce API Regression Suite","Tue Feb 24 04:01:59 GMT 2026","passed","Tue Feb 24 04:02:17 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","14417","tc02_AddToCart","Ecommerce API Regression Suite","Tue Feb 24 04:01:30 GMT 2026","passed","Tue Feb 24 04:01:45 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
