"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18003","tc04_DeleteCart","Ecommerce API Regression Suite","Tue Aug 25 02:41:22 GMT 2026","passed","Tue Aug 25 02:41:40 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","13930","tc02_AddToCart","Ecommerce API Regression Suite","Tue Aug 25 02:40:55 GMT 2026","passed","Tue Aug 25 02:41:09 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","13839","tc03_UpdateCart","Ecommerce API Regression Suite","Tue Aug 25 02:41:09 GMT 2026","passed","Tue Aug 25 02:41:22 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","8344","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Tue Aug 25 02:40:46 GMT 2026","passed","Tue Aug 25 02:40:55 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
