"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8468","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Fri Apr 03 04:12:02 GMT 2026","passed","Fri Apr 03 04:12:10 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","14003","tc03_UpdateCart","Ecommerce API Regression Suite","Fri Apr 03 04:12:24 GMT 2026","passed","Fri Apr 03 04:12:38 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","14052","tc02_AddToCart","Ecommerce API Regression Suite","Fri Apr 03 04:12:10 GMT 2026","passed","Fri Apr 03 04:12:24 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","18230","tc04_DeleteCart","Ecommerce API Regression Suite","Fri Apr 03 04:12:38 GMT 2026","passed","Fri Apr 03 04:12:56 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
