"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13770","tc03_UpdateCart","Ecommerce API Regression Suite","Sun Sep 13 06:38:49 GMT 2026","passed","Sun Sep 13 06:39:03 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","13777","tc02_AddToCart","Ecommerce API Regression Suite","Sun Sep 13 06:38:36 GMT 2026","passed","Sun Sep 13 06:38:49 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","17885","tc04_DeleteCart","Ecommerce API Regression Suite","Sun Sep 13 06:39:03 GMT 2026","passed","Sun Sep 13 06:39:21 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","8279","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Sun Sep 13 06:38:27 GMT 2026","passed","Sun Sep 13 06:38:36 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
