"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13423","tc03_UpdateCart","Ecommerce API Regression Suite","Wed Jan 14 03:24:17 GMT 2026","passed","Wed Jan 14 03:24:30 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
"","8947","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Wed Jan 14 03:23:54 GMT 2026","passed","Wed Jan 14 03:24:03 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","17507","tc04_DeleteCart","Ecommerce API Regression Suite","Wed Jan 14 03:24:30 GMT 2026","passed","Wed Jan 14 03:24:48 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","13473","tc02_AddToCart","Ecommerce API Regression Suite","Wed Jan 14 03:24:03 GMT 2026","passed","Wed Jan 14 03:24:17 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
