"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14563","tc02_AddToCart","Ecommerce API Regression Suite","Sun Apr 12 04:30:16 GMT 2026","passed","Sun Apr 12 04:30:31 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc02_AddToCart"
"","17758","tc04_DeleteCart","Ecommerce API Regression Suite","Sun Apr 12 04:30:45 GMT 2026","passed","Sun Apr 12 04:31:02 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc04_DeleteCart"
"","8303","tc01_LoginAndProductSearchByID","Ecommerce API Regression Suite","Sun Apr 12 04:30:08 GMT 2026","passed","Sun Apr 12 04:30:16 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc01_LoginAndProductSearchByID"
"","13651","tc03_UpdateCart","Ecommerce API Regression Suite","Sun Apr 12 04:30:31 GMT 2026","passed","Sun Apr 12 04:30:45 GMT 2026","tests.E2ETest","Regression Tests","tests.E2ETest","tc03_UpdateCart"
